"pf"	"scenario"
"1"	"Parameters bottom-up 0 10_06_2020 17_59.txt"	"bottom-up"
"2"	"Parameters bottom-up 1 10_06_2020 17_59.txt"	"bottom-up"
"3"	"Parameters bottom-up 10 10_06_2020 17_59.txt"	"bottom-up"
"4"	"Parameters bottom-up 100 10_06_2020 18_00.txt"	"bottom-up"
"5"	"Parameters bottom-up 1000 10_06_2020 18_04.txt"	"bottom-up"
"6"	"Parameters bottom-up 1001 10_06_2020 18_04.txt"	"bottom-up"
"7"	"Parameters bottom-up 1002 10_06_2020 18_04.txt"	"bottom-up"
"8"	"Parameters bottom-up 1003 10_06_2020 18_04.txt"	"bottom-up"
"9"	"Parameters bottom-up 1004 10_06_2020 18_04.txt"	"bottom-up"
"10"	"Parameters bottom-up 1005 10_06_2020 18_04.txt"	"bottom-up"
"11"	"Parameters bottom-up 1006 10_06_2020 18_04.txt"	"bottom-up"
"12"	"Parameters bottom-up 1007 10_06_2020 18_04.txt"	"bottom-up"
"13"	"Parameters bottom-up 1008 10_06_2020 18_04.txt"	"bottom-up"
"14"	"Parameters bottom-up 1009 10_06_2020 18_04.txt"	"bottom-up"
"15"	"Parameters bottom-up 101 10_06_2020 18_00.txt"	"bottom-up"
"16"	"Parameters bottom-up 1010 10_06_2020 18_04.txt"	"bottom-up"
"17"	"Parameters bottom-up 1011 10_06_2020 18_04.txt"	"bottom-up"
"18"	"Parameters bottom-up 1012 10_06_2020 18_04.txt"	"bottom-up"
"19"	"Parameters bottom-up 1013 10_06_2020 18_04.txt"	"bottom-up"
"20"	"Parameters bottom-up 1014 10_06_2020 18_04.txt"	"bottom-up"
"21"	"Parameters bottom-up 1015 10_06_2020 18_04.txt"	"bottom-up"
"22"	"Parameters bottom-up 1016 10_06_2020 18_04.txt"	"bottom-up"
"23"	"Parameters bottom-up 1017 10_06_2020 18_04.txt"	"bottom-up"
"24"	"Parameters bottom-up 1018 10_06_2020 18_04.txt"	"bottom-up"
"25"	"Parameters bottom-up 1019 10_06_2020 18_04.txt"	"bottom-up"
"26"	"Parameters bottom-up 102 10_06_2020 18_00.txt"	"bottom-up"
"27"	"Parameters bottom-up 1020 10_06_2020 18_04.txt"	"bottom-up"
"28"	"Parameters bottom-up 1021 10_06_2020 18_04.txt"	"bottom-up"
"29"	"Parameters bottom-up 1022 10_06_2020 18_04.txt"	"bottom-up"
"30"	"Parameters bottom-up 1023 10_06_2020 18_04.txt"	"bottom-up"
"31"	"Parameters bottom-up 1024 10_06_2020 18_04.txt"	"bottom-up"
"32"	"Parameters bottom-up 1025 10_06_2020 18_04.txt"	"bottom-up"
"33"	"Parameters bottom-up 1026 10_06_2020 18_04.txt"	"bottom-up"
"34"	"Parameters bottom-up 1027 10_06_2020 18_04.txt"	"bottom-up"
"35"	"Parameters bottom-up 1028 10_06_2020 18_04.txt"	"bottom-up"
"36"	"Parameters bottom-up 1029 10_06_2020 18_04.txt"	"bottom-up"
"37"	"Parameters bottom-up 103 10_06_2020 18_00.txt"	"bottom-up"
"38"	"Parameters bottom-up 1030 10_06_2020 18_04.txt"	"bottom-up"
"39"	"Parameters bottom-up 1031 10_06_2020 18_04.txt"	"bottom-up"
"40"	"Parameters bottom-up 1032 10_06_2020 18_04.txt"	"bottom-up"
